id,show_name,show_date,start_time,end_time,theater,section,row,seat,accessible_seat,paid,payment_method
68,sed,"2011-05-24 24:53:00","2016-01-02 21:42:00","2014-02-13 22:59:00",theater1,p,68,69,false,true,cash
69,nibh,"2015-04-18 04:59:00","2014-02-03 14:32:00","2018-00-09 21:36:00",theater1,c,69,64,true,true,credit
70,malesuada,"2011-03-00 14:55:00","2017-06-25 04:53:00","2015-03-00 23:44:00",theater2,e,70,45,true,false,cash
71,molestie,"2013-00-23 04:54:00","2017-02-22 04:47:00","2017-06-04 14:51:00",theater1,J,71,64,true,true,cash
72,hendrerit,"2015-09-28 12:48:00","2010-06-19 04:46:00","2014-02-28 04:45:00",theater2,y,72,76,true,true,credit
73,placerat,"2015-05-22 24:28:00","2017-06-28 14:56:00","2018-00-09 14:41:00",theater1,s,73,60,true,false,cash
74,nibh,"2019-04-21 04:38:00","2016-07-27 14:50:00","2011-01-13 03:55:00",theater2,B,74,00,false,true,credit
75,ante,"2018-08-22 04:59:00","2014-07-24 12:29:00","2019-02-00 24:52:00",theater2,C,75,34,false,false,check
76,cubilia,"2016-00-06 03:59:00","2014-04-23 24:54:00","2010-08-18 13:53:00",theater2,G,76,20,false,false,check
77,ultrices,"2010-04-06 20:48:00","2013-07-17 24:48:00","2016-04-05 23:49:00",theater2,U,77,24,false,true,cash
78,diam,"2019-02-20 24:53:00","2012-08-09 13:54:00","2017-08-28 03:23:00",theater2,a,78,20,false,false,check
79,sem,"2012-08-26 23:57:00","2014-09-12 04:59:00","2018-09-12 20:46:00",theater1,C,79,87,true,true,cash
80,tincidunt,"2010-08-28 13:26:00","2010-07-00 01:59:00","2010-09-24 22:57:00",theater1,b,80,67,false,false,cash
81,sem,"2017-07-12 03:41:00","2017-02-25 04:53:00","2013-06-02 24:57:00",theater1,b,81,20,false,false,cash
82,proin,"2013-02-07 14:45:00","2014-08-27 02:48:00","2016-05-15 23:34:00",theater2,F,82,75,true,false,cash
83,lobortis,"2010-08-14 24:59:00","2011-03-29 24:28:00","2011-03-23 14:55:00",theater2,b,83,59,false,true,credit
84,morbi,"2010-07-12 13:39:00","2012-02-17 24:54:00","2011-06-20 24:50:00",theater1,B,84,54,false,true,check
85,vel,"2019-07-26 20:50:00","2017-00-21 02:40:00","2012-03-23 14:53:00",theater2,W,85,04,true,false,credit
86,erat,"2014-02-21 14:38:00","2014-07-25 23:36:00","2018-07-19 22:58:00",theater1,N,86,11,false,true,cash
87,ultricies,"2016-00-26 24:45:00","2014-02-20 02:51:00","2013-06-00 24:58:00",theater1,o,87,61,false,true,cash
88,tortor,"2017-05-22 23:21:00","2019-00-14 13:31:00","2016-06-25 13:09:00",theater2,W,88,03,false,false,cash
89,ut,"2017-09-09 03:47:00","2011-02-01 24:58:00","2017-07-26 02:34:00",theater2,B,89,91,true,true,credit
90,rhoncus,"2016-09-02 24:59:00","2019-04-26 01:42:00","2010-01-25 23:36:00",theater2,t,90,51,false,true,credit
91,ultrices,"2019-07-24 03:36:00","2016-01-16 12:53:00","2019-08-21 23:46:00",theater1,j,91,64,true,false,cash
92,vulputate,"2013-00-24 14:49:00","2010-06-04 24:58:00","2010-07-22 14:57:00",theater2,L,92,24,true,true,credit
93,lectus,"2019-03-28 24:57:00","2013-08-27 14:51:00","2016-01-28 23:57:00",theater2,W,93,84,true,false,check
94,eget,"2018-00-02 03:41:00","2014-06-23 22:09:00","2012-03-09 24:58:00",theater1,O,94,56,false,true,cash
95,lacus,"2010-01-20 14:45:00","2011-04-27 03:23:00","2013-07-27 21:45:00",theater1,M,95,07,false,false,credit
96,ullamcorper,"2013-03-10 04:56:00","2019-03-20 14:40:00","2012-02-22 24:47:00",theater2,h,96,38,false,true,check
97,non,"2011-04-19 14:46:00","2018-03-20 14:55:00","2015-07-14 14:47:00",theater2,s,97,23,false,false,credit
98,donec,"2017-01-25 23:54:00","2014-01-09 14:59:00","2018-07-14 12:41:00",theater1,O,98,46,false,true,cash
99,sodales,"2011-04-04 24:20:00","2011-08-11 23:44:00","2018-01-25 14:35:00",theater1,m,99,37,false,true,check
100,elementum,"2010-05-28 02:57:00","2015-01-27 13:44:00","2019-04-13 24:43:00",theater1,L,100,28,true,false,check
101,dolor,"2011-08-10 24:45:00","2012-04-25 23:47:00","2015-01-13 14:56:00",theater2,N,101,06,true,true,cash
102,quam,"2018-00-22 13:49:00","2017-04-06 04:43:00","2010-08-13 23:59:00",theater1,w,102,43,false,true,check
103,cubilia,"2010-08-24 22:43:00","2012-04-24 21:35:00","2011-07-23 03:54:00",theater1,b,103,11,false,true,check
104,elementum,"2016-02-22 24:32:00","2015-09-29 04:53:00","2015-02-24 23:48:00",theater1,u,104,30,false,true,check
105,accumsan,"2015-08-09 24:24:00","2016-09-01 14:57:00","2014-08-29 04:40:00",theater1,U,105,22,true,true,check
106,nulla,"2015-00-03 04:59:00","2015-03-29 21:52:00","2018-08-06 23:53:00",theater1,h,106,22,false,false,credit
107,mattis,"2011-05-12 02:55:00","2011-00-06 24:53:00","2016-02-08 14:59:00",theater2,D,107,48,false,true,check
108,volutpat,"2019-09-28 02:41:00","2012-02-20 22:58:00","2012-03-07 13:54:00",theater2,Z,108,35,true,true,cash
109,magna,"2017-06-20 12:08:00","2013-02-29 24:56:00","2019-02-18 04:45:00",theater2,E,109,01,true,false,credit
110,elementum,"2016-04-29 14:51:00","2016-00-22 24:41:00","2014-04-21 21:50:00",theater1,p,110,22,false,false,credit
111,enim,"2015-00-20 22:57:00","2011-09-08 23:46:00","2016-06-04 24:55:00",theater2,s,111,67,true,true,credit
112,lobortis,"2011-02-15 21:55:00","2010-02-27 21:59:00","2010-09-01 03:52:00",theater2,H,112,22,true,true,cash
113,quis,"2012-01-24 23:52:00","2019-01-27 24:51:00","2017-04-13 14:01:00",theater2,E,113,49,true,true,credit
114,praesent,"2019-03-09 22:50:00","2018-07-20 24:09:00","2012-02-09 23:33:00",theater2,v,114,97,true,false,check
115,suscipit,"2018-09-06 01:47:00","2010-08-06 24:59:00","2016-09-02 12:51:00",theater1,p,115,65,true,false,credit
116,suscipit,"2010-09-09 24:50:00","2011-05-00 22:09:00","2013-06-12 04:15:00",theater2,O,116,54,true,false,credit
117,velit,"2019-00-08 12:51:00","2012-09-15 04:46:00","2015-00-25 02:14:00",theater2,E,117,79,true,false,credit
118,eget,"2016-07-29 24:40:00","2013-00-14 04:51:00","2013-05-24 12:51:00",theater1,T,118,65,true,false,credit
119,lobortis,"2018-04-01 13:51:00","2015-09-27 03:55:00","2015-05-02 21:55:00",theater2,X,119,59,true,false,cash
120,elit,"2013-03-18 24:51:00","2014-09-11 22:55:00","2016-05-06 14:36:00",theater1,H,120,56,false,false,cash
121,molestie,"2019-02-08 14:55:00","2015-02-01 23:48:00","2015-00-01 24:42:00",theater2,D,121,02,true,false,cash
122,tristique,"2015-09-02 23:52:00","2010-04-20 13:53:00","2015-01-27 24:53:00",theater1,y,122,85,true,false,check
123,odio,"2011-00-25 13:55:00","2017-08-20 14:59:00","2019-07-28 24:55:00",theater2,v,123,74,true,true,check
124,proin,"2015-03-03 24:41:00","2019-01-22 04:56:00","2016-05-14 14:50:00",theater2,Y,124,66,false,false,check
125,aliquet,"2015-08-29 22:59:00","2015-01-26 03:58:00","2012-08-13 24:58:00",theater1,E,125,02,true,false,cash
126,porttitor,"2013-01-17 03:33:00","2013-09-20 23:21:00","2012-04-24 00:43:00",theater2,m,126,78,true,true,cash
127,velit,"2011-08-18 21:46:00","2014-05-23 23:48:00","2011-07-28 03:45:00",theater1,q,127,01,true,true,credit
128,at,"2013-05-07 13:59:00","2018-08-12 22:54:00","2016-03-00 03:32:00",theater1,s,128,83,true,false,cash
129,aliquam,"2012-06-12 03:52:00","2014-03-25 03:47:00","2013-06-26 02:18:00",theater2,p,129,44,true,false,credit
130,pharetra,"2018-06-16 14:56:00","2012-08-22 24:29:00","2017-00-01 04:51:00",theater1,r,130,37,true,false,check
131,vivamus,"2015-03-21 04:24:00","2019-04-13 14:51:00","2014-07-09 24:56:00",theater2,A,131,66,false,true,credit
132,posuere,"2019-01-03 13:47:00","2015-07-23 23:54:00","2012-08-21 14:42:00",theater2,H,132,91,true,false,check
133,et,"2018-08-20 24:50:00","2019-03-27 23:42:00","2011-00-17 13:58:00",theater1,w,133,67,false,false,check
134,quis,"2014-02-20 22:45:00","2015-05-10 23:53:00","2017-03-18 21:49:00",theater1,u,134,03,true,false,cash
135,sapien,"2012-08-27 14:44:00","2015-01-23 23:28:00","2012-08-13 23:55:00",theater2,C,135,37,false,true,credit
136,amet,"2015-09-10 23:55:00","2018-00-08 24:41:00","2019-07-10 03:33:00",theater2,Z,136,11,true,true,credit
137,dapibus,"2017-05-25 24:47:00","2019-03-28 13:58:00","2015-00-27 03:46:00",theater1,q,137,84,false,false,check
138,nisl,"2010-01-24 13:38:00","2013-02-20 14:53:00","2017-00-14 04:52:00",theater2,y,138,87,true,false,cash
139,pharetra,"2010-03-13 04:40:00","2011-02-29 02:50:00","2014-04-12 24:52:00",theater1,P,139,67,false,true,cash
140,nulla,"2019-04-29 24:36:00","2018-07-19 10:51:00","2011-03-22 22:38:00",theater2,L,140,01,true,true,credit
141,elementum,"2017-03-11 24:43:00","2018-02-27 12:18:00","2016-04-25 24:25:00",theater1,u,141,99,false,false,credit
142,condimentum,"2010-03-23 04:40:00","2010-00-00 21:41:00","2015-06-26 14:43:00",theater2,c,142,10,true,false,credit
143,ipsum,"2010-06-11 03:48:00","2016-01-24 13:59:00","2012-09-09 11:57:00",theater2,X,143,53,true,false,credit
144,at,"2012-01-12 22:40:00","2018-01-29 03:22:00","2019-08-06 13:53:00",theater2,I,144,84,false,false,cash
145,accumsan,"2013-04-25 03:59:00","2011-09-18 22:55:00","2013-03-29 14:52:00",theater1,d,145,14,false,false,cash
146,donec,"2018-01-09 04:50:00","2014-07-28 13:55:00","2013-04-26 24:30:00",theater1,R,146,57,false,false,credit
147,at,"2010-04-25 24:58:00","2013-09-12 13:54:00","2017-05-29 21:59:00",theater2,I,147,22,false,false,cash
148,amet,"2012-09-17 03:59:00","2013-07-15 24:58:00","2013-06-02 13:32:00",theater1,l,148,47,false,false,credit
149,non,"2015-02-06 24:59:00","2014-00-23 22:45:00","2019-05-03 24:48:00",theater2,G,149,55,true,true,credit
150,nibh,"2014-09-27 24:50:00","2012-03-08 24:58:00","2017-00-10 04:53:00",theater2,Q,150,57,false,false,cash
151,posuere,"2016-00-25 12:56:00","2017-06-01 12:54:00","2018-04-16 22:45:00",theater1,Y,151,05,false,true,cash
152,consectetuer,"2018-05-25 04:50:00","2010-04-20 14:51:00","2015-07-28 13:48:00",theater2,T,152,96,true,true,check
153,et,"2016-01-00 02:00:00","2010-05-23 14:28:00","2019-03-25 24:50:00",theater1,I,153,81,false,true,check
154,risus,"2010-07-24 02:31:00","2019-05-29 14:00:00","2017-03-20 03:55:00",theater1,P,154,25,true,true,credit
155,aliquam,"2014-05-13 03:41:00","2018-04-02 04:44:00","2014-02-18 23:07:00",theater1,L,155,02,true,true,check
156,non,"2019-02-02 22:47:00","2016-01-13 11:58:00","2018-03-08 04:33:00",theater2,l,156,27,false,false,check
157,nunc,"2014-06-00 22:05:00","2017-06-27 14:51:00","2015-07-08 00:51:00",theater1,L,157,58,false,true,credit
158,est,"2011-07-20 24:49:00","2017-01-24 03:31:00","2019-08-22 20:55:00",theater1,n,158,95,true,true,cash
159,sit,"2013-07-23 24:41:00","2011-00-07 24:59:00","2015-08-25 24:56:00",theater2,c,159,69,true,true,check
160,proin,"2012-03-25 14:47:00","2017-06-11 22:56:00","2017-03-16 22:40:00",theater1,D,160,75,true,true,check
161,a,"2013-04-05 04:51:00","2011-03-13 03:43:00","2013-02-26 22:41:00",theater2,U,161,57,true,true,cash
162,eleifend,"2014-06-18 24:52:00","2010-00-28 14:30:00","2013-00-16 03:46:00",theater2,N,162,75,true,true,check
163,imperdiet,"2015-02-24 04:53:00","2016-01-13 02:53:00","2017-07-00 22:43:00",theater1,H,163,02,false,true,credit
164,non,"2016-05-15 24:58:00","2012-05-27 21:51:00","2019-07-23 23:54:00",theater2,M,164,74,true,false,check
165,penatibus,"2016-00-10 24:50:00","2016-04-29 24:47:00","2015-06-21 14:42:00",theater2,U,165,76,false,true,cash
166,non,"2012-05-10 12:48:00","2010-03-10 22:45:00","2018-07-05 13:47:00",theater2,n,166,01,true,true,cash
167,eget,"2015-05-26 13:55:00","2012-03-25 24:53:00","2016-04-22 03:04:00",theater2,v,167,72,true,false,credit
168,integer,"2012-08-22 24:54:00","2019-05-25 23:55:00","2015-03-25 04:30:00",theater1,X,168,41,false,true,cash
169,tellus,"2018-09-25 24:19:00","2016-08-21 14:51:00","2012-09-13 24:29:00",theater1,b,169,86,false,true,cash
170,nisl,"2011-08-26 24:47:00","2016-06-26 01:45:00","2012-07-29 14:54:00",theater2,I,170,78,false,false,check
171,eget,"2014-06-00 02:53:00","2015-04-17 14:57:00","2014-06-21 22:53:00",theater2,W,171,52,false,false,check
172,ultrices,"2015-00-29 24:57:00","2019-08-17 24:53:00","2010-09-08 14:54:00",theater2,X,172,93,false,false,check
173,vitae,"2011-07-27 03:58:00","2014-09-15 13:55:00","2010-07-21 02:52:00",theater1,k,173,63,true,false,cash
174,dui,"2015-00-01 23:56:00","2015-03-03 04:05:00","2010-07-21 24:52:00",theater2,Y,174,55,false,false,cash
175,placerat,"2016-06-16 22:37:00","2019-00-20 24:44:00","2013-08-29 24:59:00",theater2,t,175,11,true,true,check
176,eu,"2018-06-21 00:58:00","2016-04-25 22:33:00","2010-00-27 03:57:00",theater2,D,176,10,false,false,check
177,enim,"2014-03-12 04:44:00","2017-05-23 23:52:00","2011-01-26 04:47:00",theater2,R,177,78,true,true,check
178,hac,"2016-06-24 24:53:00","2013-05-02 24:17:00","2019-02-29 23:20:00",theater1,J,178,15,true,true,cash
179,amet,"2013-05-09 23:58:00","2013-02-28 14:04:00","2018-08-17 13:31:00",theater1,h,179,94,false,true,credit
180,nam,"2017-05-20 21:45:00","2014-06-15 24:22:00","2015-06-14 03:15:00",theater1,V,180,94,false,true,cash
181,fermentum,"2015-02-22 24:47:00","2016-09-18 24:54:00","2017-03-27 13:46:00",theater1,Z,181,44,true,false,cash
182,nulla,"2017-08-24 22:59:00","2016-05-02 12:34:00","2013-02-21 10:59:00",theater1,G,182,88,false,true,cash
183,nullam,"2011-07-21 12:42:00","2019-04-24 04:52:00","2014-07-13 13:55:00",theater1,K,183,35,true,false,check
184,ut,"2013-04-23 04:56:00","2012-01-00 23:54:00","2016-08-25 24:58:00",theater1,v,184,39,true,false,credit
185,phasellus,"2010-03-09 02:23:00","2011-05-23 14:44:00","2010-02-11 14:56:00",theater1,F,185,34,true,false,cash
186,gravida,"2013-07-26 13:58:00","2011-08-10 22:18:00","2011-03-27 14:50:00",theater2,m,186,44,false,true,check
187,potenti,"2018-05-11 00:54:00","2018-06-23 20:57:00","2012-01-24 00:40:00",theater1,j,187,49,true,false,check
188,quam,"2012-09-10 03:23:00","2014-04-22 23:51:00","2014-03-21 04:54:00",theater2,J,188,33,true,false,check
189,tellus,"2015-05-22 04:20:00","2011-08-18 24:41:00","2014-03-22 24:56:00",theater2,A,189,19,true,true,cash
190,in,"2010-03-07 13:32:00","2015-01-26 20:40:00","2013-04-02 24:57:00",theater1,c,190,21,false,true,cash
191,dapibus,"2012-08-18 24:20:00","2019-07-22 14:43:00","2012-06-17 24:14:00",theater2,J,191,97,true,false,check
192,rhoncus,"2019-04-15 24:52:00","2018-07-26 14:05:00","2013-04-05 21:14:00",theater1,z,192,21,true,true,credit
193,accumsan,"2018-06-02 23:42:00","2016-01-23 24:56:00","2015-06-09 24:59:00",theater2,b,193,57,false,false,cash
194,duis,"2016-07-08 14:39:00","2019-01-25 24:52:00","2017-03-23 23:56:00",theater1,d,194,55,false,false,credit
195,parturient,"2012-04-20 24:43:00","2014-02-28 21:58:00","2018-00-28 04:52:00",theater1,e,195,77,true,false,credit
196,consequat,"2016-01-14 04:52:00","2019-05-29 24:36:00","2010-08-22 14:54:00",theater1,B,196,37,true,false,credit
197,duis,"2014-02-20 24:51:00","2016-06-23 23:33:00","2018-03-13 14:35:00",theater2,k,197,72,true,true,cash
198,lacinia,"2012-04-22 24:48:00","2014-07-13 02:52:00","2016-07-10 24:45:00",theater1,N,198,44,true,false,check
199,leo,"2019-00-14 24:52:00","2010-09-28 23:48:00","2010-06-29 11:59:00",theater2,q,199,52,true,false,cash
200,in,"2019-00-14 20:50:00","2016-04-15 24:20:00","2017-01-22 04:54:00",theater2,t,200,41,false,false,check
201,quis,"2013-04-02 13:50:00","2016-02-01 23:02:00","2014-05-01 14:50:00",theater2,V,201,89,true,false,credit
202,ipsum,"2018-06-12 22:47:00","2012-02-20 14:43:00","2015-09-29 24:56:00",theater1,O,202,32,true,true,credit
203,mus,"2014-01-04 13:46:00","2011-06-11 04:56:00","2018-03-20 04:21:00",theater2,O,203,32,false,true,check
204,augue,"2011-02-22 22:55:00","2013-06-18 24:56:00","2014-01-24 24:30:00",theater2,U,204,05,true,false,cash
205,consectetuer,"2018-02-28 04:46:00","2013-05-00 04:37:00","2013-02-07 24:49:00",theater1,B,205,34,false,true,check
206,pede,"2014-08-28 22:51:00","2015-07-25 23:47:00","2012-02-22 04:55:00",theater2,E,206,47,true,false,check
207,vel,"2010-05-10 14:21:00","2014-03-16 14:57:00","2014-07-09 24:55:00",theater1,C,207,21,true,true,credit
208,enim,"2011-00-05 21:58:00","2018-02-24 22:45:00","2016-03-28 24:40:00",theater1,p,208,81,false,true,cash
209,accumsan,"2018-00-00 23:51:00","2017-05-18 22:59:00","2019-05-10 23:06:00",theater1,d,209,77,true,true,cash
210,imperdiet,"2016-04-26 20:28:00","2011-05-28 04:48:00","2019-05-17 04:54:00",theater2,V,210,50,true,false,check
211,ac,"2010-09-16 24:48:00","2015-07-12 03:49:00","2010-08-20 03:51:00",theater2,x,211,93,false,true,credit
212,donec,"2019-01-14 24:35:00","2014-07-25 23:45:00","2016-05-01 13:19:00",theater2,t,212,76,false,true,check
213,primis,"2010-08-06 24:53:00","2010-06-20 14:58:00","2015-02-21 22:41:00",theater1,f,213,66,true,true,credit
214,ultrices,"2011-08-10 14:39:00","2015-07-22 03:30:00","2014-09-08 23:06:00",theater1,n,214,15,true,false,check
215,ipsum,"2018-03-02 24:51:00","2017-00-15 20:46:00","2016-03-23 03:20:00",theater1,D,215,10,false,false,credit
216,in,"2011-09-17 13:46:00","2018-08-13 23:56:00","2010-00-23 02:55:00",theater1,H,216,75,false,true,credit
217,faucibus,"2011-09-15 24:52:00","2017-09-04 22:53:00","2019-03-05 14:50:00",theater1,C,217,37,true,false,credit
218,velit,"2019-03-07 12:39:00","2012-02-18 24:47:00","2010-07-11 24:50:00",theater2,p,218,60,true,true,credit
219,nisl,"2011-01-15 14:53:00","2011-03-28 20:14:00","2019-04-28 23:54:00",theater2,i,219,66,true,true,credit
220,ante,"2017-05-01 04:54:00","2013-06-22 03:44:00","2013-01-10 14:54:00",theater2,p,220,49,false,true,check
221,blandit,"2019-03-25 14:54:00","2011-02-04 04:45:00","2012-08-24 03:57:00",theater1,e,221,95,false,true,credit
222,cubilia,"2011-08-23 10:58:00","2013-05-29 23:58:00","2014-01-25 21:58:00",theater1,n,222,13,true,false,credit
